Time,header.seq,header.frame_id,level,name,msg,file,function,line,topics
0.0,351,,2,/justhink_robot_hr,Waiting for justhink_app/observe_activity service ...,robot.py,Robot.init_ros,757,['/rosout']
3.2275094985961914,352,,2,/justhink_app,Starting human application window...,run_app.py,run,23,['/rosout']
6.701878309249878,353,,2,/justhink_robot_hr,Waiting for justhink_app/pause service ...,robot.py,Robot.init_ros,763,['/rosout']
6.716426372528076,354,,2,/justhink_app,"/justhink_app published to /justhink_app/activity_transition:
 header: 
  seq: 0
  stamp: 
    secs: 1623048653
    nsecs:  45707941
  frame_id: ''
current: ''
next: ""init""",human_window.py,log_publish,1121,"['/rosout', '/justhink_app/mouse_drag', '/justhink_app/activity_transition', '/justhink_app/state_transition', '/justhink_app/act', '/justhink_app/mouse_press', '/justhink_app/key_press', '/justhink_app/mouse_release', '/justhink_app/mouse_motion', '/justhink_app/button_press', '/justhink_app/key_release']"
6.726131200790405,355,,2,/justhink_robot_hr,Waiting for justhink_app/set_activity service ...,robot.py,Robot.init_ros,769,['/rosout']
6.7444329261779785,356,,2,/justhink_robot_hr,Waiting for justhink_app/set_robot_text service ...,robot.py,Robot.init_ros,775,['/rosout']
6.762964963912964,357,,2,/justhink_robot_hr,Waiting for justhink_app/observe_state service ...,robot.py,Robot.init_ros,781,['/rosout']
6.797281980514526,358,,2,/justhink_robot_hr,Waiting for justhink_app/act service ...,robot.py,Robot.init_ros,789,['/rosout']
6.812698125839233,359,,2,/justhink_robot_hr,Waiting for justhink_app/ask_guess service ...,robot.py,Robot.init_ros,795,['/rosout']
6.876375198364258,360,,2,/justhink_robot_hr,/qt_robot/behavior/talkText service is found. Running with robot.,robot.py,Robot.init_ros,820,['/rosout']
6.884313583374023,361,,2,/justhink_robot_hr,Waiting for /qt_robot/behavior/talkText service ...,robot.py,Robot.init_ros,828,['/rosout']
6.9021689891815186,362,,2,/justhink_robot_hr,Waiting for /qt_robot/speech/config service ...,robot.py,Robot.init_ros,843,['/rosout']
7.097684383392334,363,,2,/justhink_robot_hr,"Robot speech configured: speed=75, language=en-US",robot.py,Robot.__init__,113,"['/qt_robot/head_position/command', '/qt_robot/speech/say', '/justhink_app/act', '/justhink_app/state_transition', '/rosout', '/qt_robot/gesture/play', '/qt_robot/emotion/show', '/justhink_app/activity_transition', '/qt_robot/behavior/talkText']"
7.115729808807373,364,,2,/justhink_robot_hr,Calling service /justhink_app/observe_activity,robot.py,log_service_call,1179,"['/qt_robot/head_position/command', '/qt_robot/speech/say', '/justhink_app/act', '/justhink_app/state_transition', '/rosout', '/qt_robot/gesture/play', '/qt_robot/emotion/show', '/justhink_app/activity_transition', '/qt_robot/behavior/talkText']"
