Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,state.edges,state.suggested.u,state.suggested.v,state.terminal,state.submit_suggested,action.agent_name,action.type,action.edge.u,action.edge.v,next_state.edges,next_state.suggested.u,next_state.suggested.v,next_state.terminal,next_state.submit_suggested,action_no,step_no,turn_agent
1623227678.6544206,1,1623227678,653645277,indiv-illustrate,[],-1,-1,False,False,human,1,9,1,"[u: 9
v: 1]",-1,-1,False,False,0,1,human
1623227715.8406792,2,1623227715,839755773,indiv-illustrate,"[u: 9
v: 1]",-1,-1,False,False,human,8,-1,-1,[],-1,-1,False,False,1,2,human
1623227745.494702,3,1623227745,493293762,indiv-illustrate,[],-1,-1,False,False,human,1,9,1,"[u: 9
v: 1]",-1,-1,False,False,2,3,human
1623227748.0122542,4,1623227748,10280609,indiv-illustrate,"[u: 9
v: 1]",-1,-1,False,False,human,3,-1,-1,"[u: 9
v: 1]",-1,-1,True,False,3,4,human
1623227786.4383428,5,1623227786,437661409,pretest-1,[],-1,-1,False,False,human,1,0,7,"[u: 0
v: 7]",-1,-1,False,False,0,0,human
1623227791.235792,6,1623227791,234362602,pretest-1,"[u: 0
v: 7]",-1,-1,False,False,human,1,7,6,"[u: 0
v: 7, u: 7
v: 6]",-1,-1,False,False,1,0,human
1623227796.7713585,7,1623227796,770634174,pretest-1,"[u: 0
v: 7, u: 7
v: 6]",-1,-1,False,False,human,1,6,4,"[u: 0
v: 7, u: 7
v: 6, u: 6
v: 4]",-1,-1,False,False,2,0,human
1623227804.6117754,8,1623227804,610368013,pretest-1,"[u: 0
v: 7, u: 7
v: 6, u: 6
v: 4]",-1,-1,False,False,human,1,4,1,"[u: 0
v: 7, u: 7
v: 6, u: 4
v: 1, u: 6
v: 4]",-1,-1,False,False,3,0,human
1623227826.9099631,9,1623227826,909491539,pretest-1,"[u: 0
v: 7, u: 7
v: 6, u: 4
v: 1, u: 6
v: 4]",-1,-1,False,False,human,1,4,5,"[u: 0
v: 7, u: 4
v: 5, u: 7
v: 6, u: 4
v: 1, u: 6
v: 4]",-1,-1,False,False,4,0,human
1623227833.6605017,10,1623227833,659435510,pretest-1,"[u: 0
v: 7, u: 4
v: 5, u: 7
v: 6, u: 4
v: 1, u: 6
v: 4]",-1,-1,False,False,human,1,1,3,"[u: 0
v: 7, u: 4
v: 5, u: 7
v: 6, u: 1
v: 3, u: 4
v: 1, u: 6
v: 4]",-1,-1,False,False,5,0,human
1623227839.1396606,11,1623227839,139509201,pretest-1,"[u: 0
v: 7, u: 4
v: 5, u: 7
v: 6, u: 1
v: 3, u: 4
v: 1, u: 6
v: 4]",-1,-1,False,False,human,1,3,0,"[u: 0
v: 7, u: 4
v: 5, u: 7
v: 6, u: 1
v: 3, u: 4
v: 1, u: 6
v: 4, u: 3
v: 0]",-1,-1,False,False,6,0,human
1623227841.207635,12,1623227841,206646203,pretest-1,"[u: 0
v: 7, u: 4
v: 5, u: 7
v: 6, u: 1
v: 3, u: 4
v: 1, u: 6
v: 4, u: 3
v: 0]",-1,-1,False,False,human,4,-1,-1,"[u: 0
v: 7, u: 4
v: 1, u: 6
v: 4, u: 3
v: 0, u: 4
v: 5, u: 7
v: 6, u: 1
v: 3]",-1,-1,False,True,7,0,human
1623227845.761282,13,1623227845,760063409,pretest-1,"[u: 0
v: 7, u: 4
v: 1, u: 6
v: 4, u: 3
v: 0, u: 4
v: 5, u: 7
v: 6, u: 1
v: 3]",-1,-1,False,True,human,4,-1,-1,"[u: 0
v: 7, u: 1
v: 3, u: 6
v: 4, u: 3
v: 0, u: 4
v: 5, u: 7
v: 6, u: 4
v: 1]",-1,-1,True,True,8,0,human
1623227874.342578,14,1623227874,341682672,pretest-2,[],-1,-1,False,False,human,1,4,5,"[u: 4
v: 5]",-1,-1,False,False,0,0,human
1623227882.406284,15,1623227882,404752731,pretest-2,"[u: 4
v: 5]",-1,-1,False,False,human,1,5,7,"[u: 4
v: 5, u: 5
v: 7]",-1,-1,False,False,1,0,human
1623227885.7107651,16,1623227885,709877490,pretest-2,"[u: 4
v: 5, u: 5
v: 7]",-1,-1,False,False,human,1,7,0,"[u: 4
v: 5, u: 7
v: 0, u: 5
v: 7]",-1,-1,False,False,2,0,human
1623227888.6596463,17,1623227888,658974647,pretest-2,"[u: 4
v: 5, u: 7
v: 0, u: 5
v: 7]",-1,-1,False,False,human,1,0,3,"[u: 4
v: 5, u: 7
v: 0, u: 5
v: 7, u: 0
v: 3]",-1,-1,False,False,3,0,human
