Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,state.edges,state.suggested.u,state.suggested.v,state.terminal,state.submit_suggested,action.agent_name,action.type,action.edge.u,action.edge.v,next_state.edges,next_state.suggested.u,next_state.suggested.v,next_state.terminal,next_state.submit_suggested,action_no,step_no,turn_agent
1623054544.3978791,1,1623054544,397127628,indiv-illustrate,[],-1,-1,False,False,human,1,1,9,"[u: 1
v: 9]",-1,-1,False,False,0,1,human
1623054577.9929872,2,1623054577,992793083,indiv-illustrate,"[u: 1
v: 9]",-1,-1,False,False,human,8,-1,-1,[],-1,-1,False,False,1,2,human
1623054599.7706575,3,1623054599,770467758,indiv-illustrate,[],-1,-1,False,False,human,1,1,9,"[u: 1
v: 9]",-1,-1,False,False,2,3,human
1623054609.2789047,4,1623054609,278689384,indiv-illustrate,"[u: 1
v: 9]",-1,-1,False,False,human,3,-1,-1,"[u: 1
v: 9]",-1,-1,True,False,3,4,human
1623054654.0716164,5,1623054654,71425437,pretest-1,[],-1,-1,False,False,human,1,5,6,"[u: 5
v: 6]",-1,-1,False,False,0,0,human
1623054656.9821355,6,1623054656,981272220,pretest-1,"[u: 5
v: 6]",-1,-1,False,False,human,4,-1,-1,"[u: 5
v: 6]",-1,-1,False,True,1,0,human
1623054681.3351626,7,1623054681,334823846,pretest-1,"[u: 5
v: 6]",-1,-1,False,True,human,4,-1,-1,"[u: 5
v: 6]",-1,-1,True,True,2,0,human
1623054718.453004,8,1623054718,452383518,pretest-2,[],-1,-1,False,False,human,1,3,1,"[u: 3
v: 1]",-1,-1,False,False,0,0,human
1623054752.9539392,9,1623054752,953735828,pretest-2,"[u: 3
v: 1]",-1,-1,False,False,human,1,3,7,"[u: 3
v: 1, u: 3
v: 7]",-1,-1,False,False,1,0,human
1623054756.2539554,10,1623054756,252952098,pretest-2,"[u: 3
v: 1, u: 3
v: 7]",-1,-1,False,False,human,1,7,0,"[u: 3
v: 1, u: 3
v: 7, u: 7
v: 0]",-1,-1,False,False,2,0,human
1623054761.0036461,11,1623054761,2848148,pretest-2,"[u: 3
v: 1, u: 3
v: 7, u: 7
v: 0]",-1,-1,False,False,human,1,3,0,"[u: 3
v: 1, u: 3
v: 7, u: 7
v: 0, u: 3
v: 0]",-1,-1,False,False,3,0,human
