Time,header.seq,header.frame_id,state.edges,state.suggested.u,state.suggested.v,state.terminal,state.submit_suggested,action.agent_name,action.type,action.edge.u,action.edge.v,next_state.edges,next_state.suggested.u,next_state.suggested.v,next_state.terminal,next_state.submit_suggested,action_no,step_no,turn_agent
0.0,1,indiv-illustrate,[],-1,-1,False,False,human,1,1,9,"[u: 1
v: 9]",-1,-1,False,False,0,1,human
33.59510803222656,2,indiv-illustrate,"[u: 1
v: 9]",-1,-1,False,False,human,8,-1,-1,[],-1,-1,False,False,1,2,human
55.37277841567993,3,indiv-illustrate,[],-1,-1,False,False,human,1,1,9,"[u: 1
v: 9]",-1,-1,False,False,2,3,human
64.88102579116821,4,indiv-illustrate,"[u: 1
v: 9]",-1,-1,False,False,human,3,-1,-1,"[u: 1
v: 9]",-1,-1,True,False,3,4,human
109.67373728752136,5,pretest-1,[],-1,-1,False,False,human,1,5,6,"[u: 5
v: 6]",-1,-1,False,False,0,0,human
112.58425641059875,6,pretest-1,"[u: 5
v: 6]",-1,-1,False,False,human,4,-1,-1,"[u: 5
v: 6]",-1,-1,False,True,1,0,human
136.93728351593018,7,pretest-1,"[u: 5
v: 6]",-1,-1,False,True,human,4,-1,-1,"[u: 5
v: 6]",-1,-1,True,True,2,0,human
174.05512475967407,8,pretest-2,[],-1,-1,False,False,human,1,3,1,"[u: 3
v: 1]",-1,-1,False,False,0,0,human
208.5560600757599,9,pretest-2,"[u: 3
v: 1]",-1,-1,False,False,human,1,3,7,"[u: 3
v: 1, u: 3
v: 7]",-1,-1,False,False,1,0,human
211.85607624053955,10,pretest-2,"[u: 3
v: 1, u: 3
v: 7]",-1,-1,False,False,human,1,7,0,"[u: 3
v: 1, u: 3
v: 7, u: 7
v: 0]",-1,-1,False,False,2,0,human
216.60576677322388,11,pretest-2,"[u: 3
v: 1, u: 3
v: 7, u: 7
v: 0]",-1,-1,False,False,human,1,3,0,"[u: 3
v: 1, u: 3
v: 7, u: 7
v: 0, u: 3
v: 0]",-1,-1,False,False,3,0,human
230.9203860759735,12,pretest-2,"[u: 3
v: 1, u: 3
v: 7, u: 7
v: 0, u: 3
v: 0]",-1,-1,False,False,human,1,3,5,"[u: 3
v: 1, u: 3
v: 7, u: 7
v: 0, u: 3
v: 5, u: 3
v: 0]",-1,-1,False,False,4,0,human
236.89732575416565,13,pretest-2,"[u: 3
v: 1, u: 3
v: 7, u: 7
v: 0, u: 3
v: 5, u: 3
v: 0]",-1,-1,False,False,human,1,1,5,"[u: 1
v: 5, u: 3
v: 1, u: 3
v: 7, u: 7
v: 0, u: 3
v: 5, u: 3
v: 0]",-1,-1,False,False,5,0,human
252.28652238845825,14,pretest-2,"[u: 1
v: 5, u: 3
v: 1, u: 3
v: 7, u: 7
v: 0, u: 3
v: 5, u: 3
v: 0]",-1,-1,False,False,human,1,6,7,"[u: 6
v: 7, u: 1
v: 5, u: 3
v: 1, u: 3
v: 7, u: 7
v: 0, u: 3
v: 5, u: 3
v: 0]",-1,-1,False,False,6,0,human
264.3457796573639,15,pretest-2,"[u: 6
v: 7, u: 1
v: 5, u: 3
v: 1, u: 3
v: 7, u: 7
v: 0, u: 3
v: 5, u: 3
v: 0]",-1,-1,False,False,human,1,4,5,"[u: 6
v: 7, u: 4
v: 5, u: 1
v: 5, u: 3
v: 1, u: 3
v: 7, u: 7
v: 0, u: 3
v: 5, u: 3
v: 0]",-1,-1,False,False,7,0,human
277.25792145729065,16,pretest-2,"[u: 6
v: 7, u: 4
v: 5, u: 1
v: 5, u: 3
v: 1, u: 3
v: 7, u: 7
v: 0, u: 3
v: 5, u: 3
v: 0]",-1,-1,False,False,human,1,5,6,"[u: 1
v: 5, u: 3
v: 1, u: 3
v: 7, u: 7
v: 0, u: 3
v: 0, u: 6
v: 7, u: 4
v: 5, u: 5
v: 6, u: 3
v: 5]",-1,-1,False,False,8,0,human
285.2214858531952,17,pretest-2,"[u: 1
v: 5, u: 3
v: 1, u: 3
v: 7, u: 7
v: 0, u: 3
v: 0, u: 6
v: 7, u: 4
v: 5, u: 5
v: 6, u: 3
v: 5]",-1,-1,False,False,human,8,-1,-1,[],-1,-1,False,False,9,0,human
295.4163384437561,18,pretest-2,[],-1,-1,False,False,human,1,1,5,"[u: 1
v: 5]",-1,-1,False,False,10,0,human
300.44222831726074,19,pretest-2,"[u: 1
v: 5]",-1,-1,False,False,human,1,5,3,"[u: 5
v: 3, u: 1
v: 5]",-1,-1,False,False,11,0,human
313.2481405735016,20,pretest-2,"[u: 5
v: 3, u: 1
v: 5]",-1,-1,False,False,human,1,4,5,"[u: 5
v: 3, u: 4
v: 5, u: 1
v: 5]",-1,-1,False,False,12,0,human
320.4608225822449,21,pretest-2,"[u: 5
v: 3, u: 4
v: 5, u: 1
v: 5]",-1,-1,False,False,human,1,6,5,"[u: 5
v: 3, u: 4
v: 5, u: 6
v: 5, u: 1
v: 5]",-1,-1,False,False,13,0,human
327.0689253807068,22,pretest-2,"[u: 5
v: 3, u: 4
v: 5, u: 6
v: 5, u: 1
v: 5]",-1,-1,False,False,human,1,7,5,"[u: 4
v: 5, u: 6
v: 5, u: 1
v: 5, u: 5
v: 3, u: 7
v: 5]",-1,-1,False,False,14,0,human
336.55255937576294,23,pretest-2,"[u: 4
v: 5, u: 6
v: 5, u: 1
v: 5, u: 5
v: 3, u: 7
v: 5]",-1,-1,False,False,human,1,7,0,"[u: 4
v: 5, u: 6
v: 5, u: 1
v: 5, u: 5
v: 3, u: 7
v: 5, u: 7
v: 0]",-1,-1,False,False,15,0,human
345.38448667526245,24,pretest-2,"[u: 4
v: 5, u: 6
v: 5, u: 1
v: 5, u: 5
v: 3, u: 7
v: 5, u: 7
v: 0]",-1,-1,False,False,human,1,3,0,"[u: 4
v: 5, u: 6
v: 5, u: 1
v: 5, u: 5
v: 3, u: 7
v: 5, u: 7
v: 0, u: 3
v: 0]",-1,-1,False,False,16,0,human
349.51360297203064,25,pretest-2,"[u: 4
v: 5, u: 6
v: 5, u: 1
v: 5, u: 5
v: 3, u: 7
v: 5, u: 7
v: 0, u: 3
v: 0]",-1,-1,False,False,human,4,-1,-1,"[u: 6
v: 5, u: 1
v: 5, u: 7
v: 0, u: 3
v: 0, u: 4
v: 5, u: 5
v: 3, u: 7
v: 5]",-1,-1,False,True,17,0,human
351.7637164592743,26,pretest-2,"[u: 6
v: 5, u: 1
v: 5, u: 7
v: 0, u: 3
v: 0, u: 4
v: 5, u: 5
v: 3, u: 7
v: 5]",-1,-1,False,True,human,4,-1,-1,"[u: 6
v: 5, u: 1
v: 5, u: 7
v: 0, u: 3
v: 0, u: 4
v: 5, u: 5
v: 3, u: 7
v: 5]",-1,-1,True,True,18,0,human
