Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,state.edges,state.suggested.u,state.suggested.v,state.terminal,state.submit_suggested,action.agent_name,action.type,action.edge.u,action.edge.v,next_state.edges,next_state.suggested.u,next_state.suggested.v,next_state.terminal,next_state.submit_suggested,action_no,step_no,turn_agent
1623069102.1594775,1,1623069102,158486366,indiv-illustrate,[],-1,-1,False,False,human,1,1,9,"[u: 1
v: 9]",-1,-1,False,False,0,1,human
1623069137.450706,2,1623069137,450055599,indiv-illustrate,"[u: 1
v: 9]",-1,-1,False,False,human,8,-1,-1,[],-1,-1,False,False,1,2,human
1623069158.3787563,3,1623069158,377630472,indiv-illustrate,[],-1,-1,False,False,human,1,1,9,"[u: 1
v: 9]",-1,-1,False,False,2,3,human
1623069159.844723,4,1623069159,843632459,indiv-illustrate,"[u: 1
v: 9]",-1,-1,False,False,human,3,-1,-1,"[u: 1
v: 9]",-1,-1,True,False,3,4,human
1623069228.2180338,5,1623069228,216890335,pretest-1,[],-1,-1,False,False,robot,8,-1,-1,[],-1,-1,False,False,0,0,human
1623069279.3490295,6,1623069279,348865985,pretest-1,[],-1,-1,False,False,human,1,6,4,"[u: 6
v: 4]",-1,-1,False,False,1,0,human
1623069281.358578,7,1623069281,358426094,pretest-1,"[u: 6
v: 4]",-1,-1,False,False,human,4,-1,-1,"[u: 6
v: 4]",-1,-1,False,True,2,0,human
1623069284.307071,8,1623069284,305958509,pretest-1,"[u: 6
v: 4]",-1,-1,False,True,human,4,-1,-1,"[u: 6
v: 4]",-1,-1,True,True,3,0,human
1623069308.3705957,9,1623069308,370217561,pretest-2,[],-1,-1,False,False,human,1,3,0,"[u: 3
v: 0]",-1,-1,False,False,0,0,human
1623069315.2301085,10,1623069315,229086160,pretest-2,"[u: 3
v: 0]",-1,-1,False,False,human,1,7,0,"[u: 7
v: 0, u: 3
v: 0]",-1,-1,False,False,1,0,human
1623069321.1079884,11,1623069321,107001304,pretest-2,"[u: 7
v: 0, u: 3
v: 0]",-1,-1,False,False,human,1,1,3,"[u: 7
v: 0, u: 1
v: 3, u: 3
v: 0]",-1,-1,False,False,2,0,human
1623069324.0930307,12,1623069324,92121362,pretest-2,"[u: 7
v: 0, u: 1
v: 3, u: 3
v: 0]",-1,-1,False,False,human,1,4,1,"[u: 7
v: 0, u: 1
v: 3, u: 4
v: 1, u: 3
v: 0]",-1,-1,False,False,3,0,human
1623069329.7861893,13,1623069329,785315513,pretest-2,"[u: 7
v: 0, u: 1
v: 3, u: 4
v: 1, u: 3
v: 0]",-1,-1,False,False,human,1,1,5,"[u: 4
v: 1, u: 1
v: 5, u: 7
v: 0, u: 1
v: 3, u: 3
v: 0]",-1,-1,False,False,4,0,human
1623069335.2241046,14,1623069335,222849845,pretest-2,"[u: 4
v: 1, u: 1
v: 5, u: 7
v: 0, u: 1
v: 3, u: 3
v: 0]",-1,-1,False,False,human,1,5,3,"[u: 1
v: 3, u: 1
v: 5, u: 5
v: 3, u: 7
v: 0, u: 4
v: 1, u: 3
v: 0]",-1,-1,False,False,5,0,human
1623069345.854605,15,1623069345,853481769,pretest-2,"[u: 1
v: 3, u: 1
v: 5, u: 5
v: 3, u: 7
v: 0, u: 4
v: 1, u: 3
v: 0]",-1,-1,False,False,human,1,5,7,"[u: 1
v: 3, u: 1
v: 5, u: 5
v: 3, u: 7
v: 0, u: 4
v: 1, u: 5
v: 7, u: 3
v: 0]",-1,-1,False,False,6,0,human
1623069348.946723,16,1623069348,946516990,pretest-2,"[u: 1
v: 3, u: 1
v: 5, u: 5
v: 3, u: 7
v: 0, u: 4
v: 1, u: 5
v: 7, u: 3
v: 0]",-1,-1,False,False,human,1,6,5,"[u: 1
v: 3, u: 6
v: 5, u: 1
v: 5, u: 5
v: 3, u: 7
v: 0, u: 4
v: 1, u: 5
v: 7, u: 3
v: 0]",-1,-1,False,False,7,0,human
1623069354.1768105,17,1623069354,176168441,pretest-2,"[u: 1
v: 3, u: 6
v: 5, u: 1
v: 5, u: 5
v: 3, u: 7
v: 0, u: 4
v: 1, u: 5
v: 7, u: 3
v: 0]",-1,-1,False,False,human,1,4,5,"[u: 6
v: 5, u: 1
v: 5, u: 4
v: 1, u: 7
v: 0, u: 5
v: 7, u: 3
v: 0, u: 4
v: 5, u: 5
v: 3, u: 1
v: 3]",-1,-1,False,False,8,0,human
1623069360.439767,18,1623069360,438788890,pretest-2,"[u: 6
v: 5, u: 1
v: 5, u: 4
v: 1, u: 7
v: 0, u: 5
v: 7, u: 3
v: 0, u: 4
v: 5, u: 5
v: 3, u: 1
v: 3]",-1,-1,False,False,human,1,4,6,"[u: 1
v: 3, u: 6
v: 5, u: 1
v: 5, u: 7
v: 0, u: 4
v: 6, u: 5
v: 7, u: 3
v: 0, u: 4
v: 5, u: 5
v: 3, u: 4
v: 1]",-1,-1,False,False,9,0,human
1623069364.1457486,19,1623069364,144863128,pretest-2,"[u: 1
v: 3, u: 6
v: 5, u: 1
v: 5, u: 7
v: 0, u: 4
v: 6, u: 5
v: 7, u: 3
v: 0, u: 4
v: 5, u: 5
v: 3, u: 4
v: 1]",-1,-1,False,False,human,1,6,7,"[u: 6
v: 5, u: 1
v: 5, u: 4
v: 1, u: 4
v: 6, u: 7
v: 0, u: 5
v: 7, u: 3
v: 0, u: 6
v: 7, u: 4
v: 5, u: 5
v: 3, u: 1
v: 3]",-1,-1,False,False,10,0,human
